region,proportion
0,0.021490537737374086
1,0.04167180830650426
2,0.015324040539156467
3,0.04533299007745777
15,0.0260763663085206
27,0.01303336286691256
40,0.03334983285557216
55,0.019683585541050645
65,0.02122600036773008
79,0.025806275967852
80,0.07464303651263547
94,0.055370833574990404
106,0.02777110221538864
124,0.029794851655464062
134,0.019487457689445778
146,0.0664436891718299
164,0.045084109001119234
183,0.034410296072075096
201,0.02653787990034268
216,0.16786199509610958
238,0.023961147095734454
253,0.004852294055729617
275,0.021408168667175896
276,0.05053974878359085
298,0.01025217275416257
308,0.013865691523821628
325,0.00035994049683048756
333,0.02773223141821646
344,0.009760426320095461
359,0.002454258943676832
368,0.003716634356601927
374,0.01290232817565158
393,0.004963276351623997
394,0.0025236710814842966
395,0.0003079585180724527
