dow,hour,count,proportion
0,0,118359.0,0.04274261405289064
0,1,30596.0,0.01104903741635399
0,2,34705.0,0.012532907685140713
0,3,23451.0,0.008468785999833882
0,4,15434.0,0.00557363196117164
0,5,17055.0,0.0061590186016445714
0,6,19115.0,0.006902939933769334
0,7,50007.0,0.01805887090075873
0,8,50174.0,0.01811917908642127
0,9,61390.0,0.02216957795103842
0,10,88740.0,0.03204639757900553
0,11,104070.0,0.03758247234671067
0,12,91304.0,0.03297232684869868
0,13,97961.0,0.035376348357414475
0,14,105596.0,0.038133551935459406
0,15,109259.0,0.039456359624572515
0,16,106252.0,0.038370451155786515
0,17,123833.0,0.04471942248592508
0,18,200018.0,0.07223187233443236
0,19,169373.0,0.06116513970192589
0,20,177999.0,0.06428021999848327
0,21,170759.0,0.06166566153023896
0,22,530619.0,0.1916207734615093
0,23,273041.0,0.09860243905081416
1,0,233385.0,0.09559309621117357
1,1,76059.0,0.031153310215847847
1,2,41683.0,0.017073106795082577
1,3,37968.0,0.015551465076786588
1,4,21747.0,0.008907440766563367
1,5,23914.0,0.00979503096940251
1,6,27565.0,0.01129045867155558
1,7,41348.0,0.01693589280433449
1,8,99155.0,0.04061329329142367
1,9,92665.0,0.037955028216930815
1,10,140904.0,0.05771343329065364
1,11,156364.0,0.06404575656517747
1,12,137107.0,0.056158204864174534
1,13,154650.0,0.06334371244534992
1,14,136049.0,0.055724854409811904
1,15,181457.0,0.0743236988632128
1,16,118668.0,0.04860570105699828
1,17,138125.0,0.05657517155844784
1,18,144090.0,0.059018399781768316
1,19,98644.0,0.04040399075628256
1,20,132005.0,0.054068456264781226
1,21,72830.0,0.029830731182637148
1,22,48843.0,0.02000579985107162
1,23,86217.0,0.035313966090531744
2,0,289423.0,0.1536115211161904
2,1,101952.0,0.05411111694937114
2,2,21379.0,0.011346923741178256
2,3,21951.0,0.011650513262669157
2,4,12851.0,0.006820679966223012
2,5,12701.0,0.006741067329468406
2,6,13709.0,0.007276064248459363
2,7,39904.0,0.021179084380372193
2,8,49846.0,0.026455809944467532
2,9,67191.0,0.03566168450785857
2,10,114228.0,0.06062661514136816
2,11,82328.0,0.043695661058221785
2,12,92041.0,0.04885084466353842
2,13,110433.0,0.058612415431476605
2,14,101257.0,0.05374224506574146
2,15,103895.0,0.05514236597079915
2,16,93541.0,0.04964697103108449
2,17,80271.0,0.04260390643286027
2,18,140215.0,0.07441923908364793
2,19,72964.0,0.03872570952108753
2,20,70265.0,0.0372932128104163
2,21,50302.0,0.026697832360201536
2,22,63143.0,0.033513204817307574
2,23,78333.0,0.04157531116599075
3,0,98548.0,0.04767112976823766
3,1,27555.0,0.013329321556640305
3,2,27607.0,0.0133544757834937
3,3,29882.0,0.014454973208329726
3,4,14231.0,0.0068840346605896635
3,5,15207.0,0.007356160149222613
3,6,25916.0,0.01253647967562657
3,7,36545.0,0.01767810039148684
3,8,49785.0,0.024082753536466616
3,9,63899.0,0.03091019118663614
3,10,100668.0,0.048696648247645295
3,11,103434.0,0.05003465962219319
3,12,109494.0,0.052966094520877284
3,13,95302.0,0.04610092553042767
3,14,105237.0,0.05090683406482147
3,15,141896.0,0.06864008026133307
3,16,218591.0,0.10574014619443153
3,17,177083.0,0.08566126834384087
3,18,144178.0,0.06974396383209167
3,19,104774.0,0.0506828646987999
3,20,107094.0,0.05180513020456675
3,21,96762.0,0.046807178822849904
3,22,113362.0,0.054837182010664426
3,23,60197.0,0.029119403728727143
4,0,129291.0,0.060824676308339064
4,1,48967.0,0.023036421133647657
4,2,30176.0,0.014196235099739654
4,3,27864.0,0.013108559610920788
4,4,14524.0,0.0068327849479261245
4,5,19818.0,0.009323336002340948
4,6,14852.0,0.006987091851184165
4,7,38088.0,0.017918418692964077
4,8,64556.0,0.03037023306928662
4,9,73507.0,0.03458121200545343
4,10,118502.0,0.05574901417647629
4,11,125098.0,0.0588520883651654
4,12,128855.0,0.06061956103449606
4,13,129975.0,0.061146462655377175
4,14,127657.0,0.060055964479303586
4,15,142839.0,0.06719830412949736
4,16,143480.0,0.06749986121787664
4,17,137657.0,0.06476044323717065
4,18,126134.0,0.05933947236448043
4,19,125394.0,0.05899134093639827
4,20,106828.0,0.05025700567454228
4,21,87258.0,0.04105034074539643
