paying_price,proportion
0,0.00021162360513867322
1,0.0009371716927381146
2,0.00143550695935073
3,0.0003193840596890289
4,0.004218052078113923
5,0.018391247486726107
6,0.005842123594161267
7,0.00483700890235162
8,0.0040582626156703576
9,0.004298271584665876
10,0.00866097859483745
11,0.006872181031327958
12,0.0056058820189957195
13,0.0050220658854824
14,0.005090853300412374
15,0.004946523143684893
16,0.007210077284836669
17,0.007785384304699538
18,0.007276331452191318
19,0.005059869733914171
20,0.04404758919921965
21,0.012230909024064422
22,0.014801440807292739
23,0.004698005061038925
24,0.005550670212866845
25,0.005363404757490911
26,0.0032267728153695116
27,0.004554519320169886
28,0.003971482647448974
29,0.0034754857632135817
30,0.010828659058523085
31,0.017603862176262326
32,0.005409522854375029
33,0.007013783075282012
34,0.005721891766932389
35,0.0024369841674624746
36,0.0058107502972668595
37,0.0039043840642358834
38,0.0052244009161782155
39,0.002969550753874992
40,0.008088724463078177
41,0.00447455963388207
42,0.00654266398133763
43,0.0035550557191051948
44,0.005826339513115012
45,0.005679800884142377
46,0.0037842171920730396
47,0.005777688168655569
48,0.0033327794831369503
49,0.006366830617583674
50,0.044616010982082926
51,0.008010648473705344
52,0.01628800244854617
53,0.00332966163996732
54,0.0029708498551956715
55,0.025473038516145685
56,0.0045645224003391174
57,0.004505348335182171
58,0.004346922929125319
59,0.006526749990159307
60,0.00726262593325815
61,0.005507994734482527
62,0.003005665770589879
63,0.004909628666177598
64,0.005519037095708302
65,0.003040027000521849
66,0.005397376257026677
67,0.006266734860825327
68,0.0038074061506471668
69,0.0030065751415143545
70,0.05764274947519554
71,0.003627805393063241
72,0.002754874260632722
73,0.01630683941769602
74,0.0033907194020392512
75,0.003065814161737335
76,0.009240572649058561
77,0.031463389570996474
78,0.0028463309936085516
79,0.002067130021465051
80,0.028200566693978107
81,0.0036752875463340723
82,0.002532338204400342
83,0.0026336681074133348
84,0.012413043029223674
85,0.004203242323058178
86,0.003699905516360947
87,0.002598397506556889
88,0.016760875329273468
89,0.00787541202622262
90,0.0029034914517184446
91,0.00395914118490252
92,0.0019384540356517572
93,0.001975348513159052
94,0.002536365418494448
95,0.00520303069945304
96,0.0024971975136759642
97,0.0019030535246632437
98,0.0009341188046345179
99,0.0015996484112185713
100,0.006093759519976865
101,0.007363046465346667
102,0.0017389120727954023
103,0.002662508156732417
104,0.0014289464976812991
105,0.001925917707907201
106,0.001951445048858551
107,0.002688685048344107
108,0.0026806955752219285
109,0.0020999972848782396
110,0.001840047110610293
111,0.002018153901675438
112,0.0026191831276877594
113,0.002028676622372941
114,0.0016445323618480443
115,0.0020875259121997175
116,0.0009980995446779782
117,0.001908639660342165
118,0.0018899326013243818
119,0.004329255151164079
120,0.0016880522560908042
121,0.0030542521599832883
122,0.0014583061875286533
123,0.0015712630473617266
124,0.0024475718432260115
125,0.0010158322777052517
126,0.0024216547718784575
127,0.0029638347080640027
128,0.0019222802242092986
129,0.001784510529151249
130,0.001632645584763828
131,0.0011306078793872762
132,0.002074015258464652
133,0.003198972047106973
134,0.0007912176593597846
135,0.0014233603620023775
136,0.0014684391778299526
137,0.0015343036147883978
138,0.0007639365316255174
139,0.0013786063215049725
140,0.003457688075120274
141,0.0016043251759730172
142,0.002526557203523319
143,0.0015063079813277568
144,0.0014040687073902886
145,0.0008368161157156314
146,0.0017156581591552412
147,0.0015100753751577272
148,0.005446872017344562
149,0.0017924350472073934
150,0.0029004385636148483
151,0.0033096554796288574
152,0.000996215847762993
153,0.0014343377681621185
154,0.0011751020996205455
155,0.0009204782407673843
156,0.0012635708995588123
157,0.0022243212812672578
158,0.0011176818212465162
159,0.0008732559077606884
160,0.008696054330495792
161,0.001021743188714343
162,0.0026336681074133348
163,0.0010279139199875702
164,0.0006238934092562788
165,0.0009048890249192316
166,0.003919388684489731
167,0.0017722340216708287
168,0.0018666137326181866
169,0.0011495098036031614
170,0.0007810846690584854
171,0.0008331786320177291
172,0.0010151177719788782
173,0.0010319411340816763
174,0.001281108767387984
175,0.0009569180328124413
176,0.0007419167642400017
177,0.004155955034985448
178,0.0007174936594112291
179,0.0006435098391985376
180,0.0050692232634230614
181,0.0010353187975154427
182,0.0019791808620550563
183,0.0006945645211012378
184,0.0007276916047785623
185,0.0008579265121766716
186,0.0007170389739489913
187,0.0007739396117947487
188,0.0009476294583695837
189,0.0008615639958745739
190,0.0007116477034681718
191,0.0010147280415826743
192,0.0014618787161605217
193,0.0007839426919639801
194,0.0006692320453479897
195,0.0007270420541182226
196,0.0008276574514048417
197,0.0003925234640432788
198,0.0006618271678201171
199,0.0013921819303060721
200,0.0020192581377980155
201,0.006101878903231112
202,0.0010040104556870693
203,0.0007285360206370039
204,0.0005619912313259057
205,0.0007697175325025407
206,0.0006371442427272086
207,0.0007309393580802609
208,0.0009030702830702805
209,0.0008396091835550921
210,0.001608742120463327
211,0.0007709516787571862
212,0.0013252132572250494
213,0.002099542599416002
214,0.0015176101628176675
215,0.0008446756787057417
216,0.0009908245772821734
217,0.0006477319184907456
218,0.0006415611872175185
219,0.0005619912313259057
220,0.001060391453004555
221,0.0016599267124980952
222,0.0006370143325951406
223,0.0006244130497845505
224,0.00038148110281750394
225,0.0028245060914211377
226,0.001728519262229967
227,0.0007744592523230205
228,0.0007226900646939467
229,0.0006103827555212131
230,0.00045475041730382173
231,0.0006629963590087286
232,0.0007094392312230168
233,0.0009294420398800722
234,0.0006509796717924441
235,0.0006054461705026314
236,0.003605525805413589
237,0.0005156782692436853
238,0.0006727396189138239
239,0.00047053449835007637
240,0.0016214733134059852
241,0.000972507248660594
242,0.00040843745522160135
243,0.0004644936772089172
244,0.00047631549922709965
245,0.0004659226886616645
246,0.000539776598742288
247,0.0005573144665714599
248,0.001098909807162699
249,0.00045150266400212325
250,0.0010229773349689885
251,0.0006628664488766606
252,0.0009141126442960553
253,0.0007966089298406041
254,0.0005114561899514773
255,0.0006646851907256118
256,0.0005273052260637658
257,0.00037894785524217913
258,0.0006220746674073277
259,0.0005772556718438885
260,0.001593997320473616
261,0.0006440294797268093
262,0.0006789103501870511
263,0.0003955763521468754
264,0.00045871267633189387
265,0.0010717585895604997
266,0.0005945986744749584
267,0.0004685858463690573
268,0.0002902192350397765
269,0.0002328639117317813
270,0.00031288855308563197
271,0.0003541999750832367
272,0.0002581314324189955
273,0.0002007111540449663
274,0.00031093990110461284
275,0.0002712523557578574
276,0.00024137302538223133
277,0.00024221744124067293
278,0.00019707367034706402
279,0.0001668695646412681
280,0.0005544564436659652
281,0.0018297192551108919
282,0.00020915531262938238
283,0.00027924182888003563
284,0.00020532296373337817
285,0.00018310833114976052
286,0.00042370189573958425
287,0.00019544979369621478
288,0.00023143490027903397
289,0.00027183695135216314
290,0.00019103284920590484
291,0.00022234119103427822
292,0.00024345158749531837
293,0.0002874911222663498
294,0.000179925532914096
295,0.00019155248973417658
296,0.00010301873472987592
297,7.482823607113307e-05
298,0.00011159280344635991
299,0.00012029678229491185
300,0.00059135092117326
