floor_price,proportion
0,0.14146077048594363
1,2.3167186355565127e-07
4,0.013605393531032732
5,0.18328653072604464
6,0.005391081488894524
7,0.00017115917279491514
8,0.0014415550037886844
9,0.00017549915903885768
10,0.018301397650096685
11,0.00018181607851847512
12,0.00017219397378546373
13,0.0006796016893450511
14,0.00015934390775357695
15,0.0002476726669318949
16,0.006213315822235338
17,0.00014624672506723078
18,0.00015623950478193123
19,0.00013853977440627947
20,0.09962856976803576
21,0.0001316977320359359
22,0.00012806820617356401
23,0.0012672450936494124
24,0.000843903374978719
25,0.00031178399397319546
26,0.00010805175716235575
27,0.00010800542278964462
28,0.0001025997459733461
29,0.00010204373350081252
30,0.0037504740199388233
31,0.015686687218843993
32,0.00145872961127361
33,0.0001482545478847131
34,8.863765499639218e-05
35,8.519346662486483e-05
36,8.632093636083566e-05
37,8.608926449728002e-05
38,0.0002593489288550997
39,0.002737928973082494
40,0.0019074316766081955
41,7.467556401943826e-05
42,7.36716526106971e-05
43,7.262140682924482e-05
44,8.378799065262721e-05
45,0.00011943456805839008
46,8.31701990164788e-05
47,0.00013836988170633864
48,6.899188096687294e-05
49,6.3555314568767e-05
50,0.11213724414178695
51,7.291485785641531e-05
52,0.0012778556650002613
53,5.981767517006916e-05
54,7.265229641105223e-05
55,0.00012570515316529638
56,5.26821817725551e-05
57,5.4427443144674336e-05
58,5.300652238153301e-05
59,0.005362740297586216
60,5.0272794391576326e-05
61,0.00019533027055922145
62,0.000806557870573548
63,0.0005639974294307812
64,8.018935437206276e-05
65,4.545401962961878e-05
66,4.5037010275218606e-05
67,0.0011619425092679171
68,4.160826669459497e-05
69,4.8326750737708854e-05
70,0.10918489513658824
71,3.8009630414030516e-05
72,3.76698450141489e-05
73,3.558479824214804e-05
74,0.00023367968637313358
75,0.00045384518070552083
76,4.516056860244829e-05
77,0.00031266434705470695
78,3.285107025219135e-05
79,3.2557619225020855e-05
80,0.03154811680197256
81,0.00022581828780314514
82,3.6897605468963394e-05
83,2.932965792614545e-05
84,3.0735133898383066e-05
85,2.9545884998797393e-05
86,2.763073092673734e-05
87,2.8387525681019135e-05
88,2.8804535035419307e-05
89,0.00036723079331751467
90,0.00022276021920421054
91,3.24649504795986e-05
92,6.644349046776078e-05
93,2.942232667156771e-05
94,4.48671175752778e-05
95,2.4109318600691442e-05
96,2.349152696454304e-05
97,2.2286833274053653e-05
98,2.3120851982853996e-05
99,3.2279612988754076e-05
100,0.21055294992494528
101,2.6178920581788594e-05
102,3.105947450736098e-05
103,0.0007871437684075844
104,2.2394946810379623e-05
105,2.336796863731336e-05
106,1.992378026578601e-05
107,3.0333569334886604e-05
108,2.5190453963951148e-05
109,2.0958581256334583e-05
110,2.4387324836958224e-05
111,0.00044270948646394585
112,1.864186262077807e-05
113,1.9491326120482128e-05
114,1.5846355467206546e-05
115,3.975489178614976e-05
116,2.8526528799152525e-05
117,1.7468058512096104e-05
118,0.00030637831715689694
119,1.7560727257518365e-05
120,6.0481801178928694e-05
121,1.5444790903710084e-05
122,1.7159162694021903e-05
123,4.217972395803224e-05
124,1.9043427184274534e-05
125,0.00039588088044389686
126,1.468799614942829e-05
127,1.3267075386286962e-05
128,1.3761308695205685e-05
129,1.2880955613694211e-05
130,1.464166177671716e-05
131,1.6062582539858487e-05
132,1.2541170213812589e-05
133,0.001703313320024763
134,1.3143517059057282e-05
135,1.283462124098308e-05
136,1.3529636831650035e-05
137,1.8842644902526302e-05
138,1.9970114638497138e-05
139,7.969512106314404e-05
140,0.002064937654244231
141,1.491966801298394e-05
142,1.9197875093311636e-05
143,3.638792736914096e-05
144,0.0001229868699662434
145,2.6132586209077462e-05
146,1.3977535767857627e-05
147,4.163915627640239e-05
148,0.004247255719356659
149,1.1707151505012244e-05
150,3.683582630534855e-05
151,1.0301675532774627e-05
152,9.652994314818803e-06
153,8.329375734370849e-05
154,7.042824652091799e-05
155,1.814762931185935e-05
156,9.32865370584089e-06
157,3.218694424333182e-05
158,8.448300624329417e-06
159,8.757196442403618e-06
160,9.900110969278165e-06
161,9.09698184228524e-06
162,0.0019910343297699783
163,4.4357439475455365e-05
164,9.14331621499637e-06
165,8.293852715292314e-06
166,8.077625642640374e-06
167,7.5988371246253614e-06
168,9.513991196685412e-06
169,8.185739178966344e-06
170,7.552502751914231e-06
171,7.614281915529072e-06
172,7.073714233899219e-06
173,7.5370579610105215e-06
174,7.228162142936319e-06
175,7.475278797395681e-06
176,7.38261005197342e-06
177,0.0011444126715922061
178,6.564036134076786e-06
179,9.900110969278165e-06
180,0.004796657821383434
181,9.452212033070572e-06
182,6.564036134076786e-06
183,7.815064197277303e-06
184,6.687594461306466e-06
185,0.0005775734006351423
186,6.548591343173076e-06
187,6.5022569704619455e-06
188,0.00011688617755927791
189,1.7190052275829325e-05
190,7.39805484287713e-06
191,2.0526127111030702e-05
192,0.0002793962674481154
193,6.193361152387744e-06
194,6.315375000527053e-05
195,5.760907007083861e-06
196,5.822686170698702e-06
197,6.147026779676614e-06
198,6.177916361484034e-06
199,2.6595929936188765e-05
200,3.365419937918427e-05
201,6.795707997632437e-06
202,5.6373486798541805e-06
203,6.2396955250988745e-06
204,5.2048945345502985e-06
205,5.359342443587399e-06
206,6.981045488476958e-06
207,5.49834556172079e-06
208,5.760907007083861e-06
209,5.2048945345502985e-06
210,6.641260088595337e-06
211,5.328452861779979e-06
212,4.679771643824156e-06
213,6.332364270521134e-06
214,5.359342443587399e-06
215,8.463745415233126e-06
216,6.548591343173076e-06
217,4.355431034846244e-06
218,4.231872707616563e-06
219,4.3399862439425335e-06
220,4.556213316594475e-06
221,0.0005591940994597273
222,4.061980007675752e-06
223,5.699127843469021e-06
224,7.30538609745487e-06
225,6.008023661543223e-06
226,6.579480924980496e-06
227,4.1083143803868825e-06
228,4.293651871231403e-06
229,2.0649685438260382e-05
230,1.3745863904301975e-05
231,6.454378118660444e-05
232,4.324541453038824e-06
233,5.56012472533563e-06
234,4.571658107498185e-06
235,5.004112252802067e-06
236,4.475900403895183e-05
237,2.6719488263418445e-05
238,8.849865187825879e-06
239,5.112225789128038e-06
240,6.579480924980496e-06
241,3.830308144120101e-06
242,3.3515196261050883e-06
243,3.3978539988162186e-06
244,5.683683052565311e-06
245,3.4287435806236386e-06
246,6.811152788536147e-06
247,6.749373624921307e-06
248,3.830308144120101e-06
249,3.166182135260567e-06
250,0.0002099873771268423
251,6.100692406965483e-06
252,6.224250734195164e-06
253,3.3978539988162186e-06
254,4.092869589483172e-06
255,3.5059675351421894e-06
256,3.7376393986978404e-06
257,3.830308144120101e-06
258,3.5523019078533193e-06
259,6.347809061424845e-06
260,5.42112160720224e-06
261,3.475077953334769e-06
262,3.2125165079716976e-06
263,1.8749976157104042e-05
264,2.965399853512336e-06
265,4.417210198461084e-06
266,2.980844644416046e-06
267,1.275739728646453e-05
268,2.934510271704916e-06
269,9.668439105722513e-06
270,2.8418415262826554e-06
271,3.5677466987570293e-06
272,2.7182831990529747e-06
273,3.058068598934597e-06
274,3.3515196261050883e-06
275,9.714773478433643e-06
276,3.3669644170087982e-06
277,2.4402769627861934e-06
278,2.5329457082084537e-06
280,0.000141227168023525
284,9.26687454222605e-08
285,1.5444790903710085e-08
287,6.177916361484034e-08
288,7.722395451855042e-08
289,1.0811353632597059e-07
290,1.5444790903710083e-07
291,1.0811353632597059e-07
292,5.251228907261429e-07
294,4.787885180150126e-07
295,2.4866113354973237e-05
297,3.088958180742017e-08
298,6.177916361484034e-08
299,4.170093544001723e-07
300,2.3167186355565127e-07
